player_name,team,height,min_year,max_year,pos_class,type,avg_box_plus_minus,avg_box_offensive_plus_minus,avg_box_defensive_plus_minus,avg_global_plus_minus,avg_offensive_global_plus_minus,avg_defensive_global_plus_minus,total_min_per,avg_offensive_rating,avg_defensive_rating,avg_defensive_points_ov_replacement,avg_defensive_stop,avg_usage_rate,avg_effective_field_goal_pct,avg_shooting_pct,avg_offensive_rebound_pct,avg_defensive_rebound_pct,avg_freethrow_made,avg_freethrow_attempted,avg_2p_made,avg_2p_attempted,avg_3p_made,avg_3p_attempted,avg_block_pct,avg_steal_pct,avg_pick,avg_offensive_reb,avg_defensive_reb,avg_total_reb,avg_assists,avg_steals,avg_blocks,avg_points_scored,avg_freethrow_pct,avg_2p_pct,avg_3p_pct,ncaa_id,cluster,PC1,PC2
A.J. Hammons,Purdue,213.36,2013,2016,C,"Mouth Of Wilson, VA",6.4006575,0.40969375,5.9909675,6.9534875,3.158397,3.79509,234.6,104.8013214,21783.26037,781.188536,42686.8719,25.69650469,53.55571185,57.06007246,11.34812447,21.15034101,21019.5,30478.5,35363.6,65112.1,345.0,1351.2,2623.33,3.8,10791.6,560.59125,1100.75296,1661.34421,184.51842,86.15447,613.93104,2830.38737,0.689650081,0.543118714,0.255328597,30,2,-1.1440147466591246,4.353922975119236
AJ Griffin,Duke,198.12,2022,2022,Wing G,"White Plains, NY",6.33908,5.87855,0.460527,7.45229,6.59323,0.859068,60.6,127.2,6145.2036,160.237914,9776.295,16.9,61.3,63.05,3.8,13.5,2545.2,3211.8,4545.0,8302.2,4302.6,9635.4,133.32,1.2,969.6,46.61352,191.12028,237.73986,59.04864,31.07568,34.18446,629.30676,0.79245283,0.547445255,0.446540881,122,1,-0.22081652850695815,0.2562813267863255
Abdel Nader,Iowa St.,198.12,2015,2016,Wing G,"Skokie, IL",2.0985955,0.7779265,1.32067,0.9763085,0.036915,0.93939,115.4,99.79679376,11763.287,333.51707,20089.8028,20.83344887,51.99696707,55.17725303,3.600606586,14.36672444,7268.7,9806.9,10461.1,19037.8,4576.3,13422.5,284.68,3.2,6693.2,83.59776,410.60314,494.18936,146.32281,95.72849,71.98033,1216.89092,0.741182229,0.549491013,0.340942447,391,1,,
Admiral Schofield,Tennessee,198.12,2016,2019,Wing F,"Zion, IL",3.86499,2.7789,1.08609125,4.285905,3.0309125,1.2549915,234.6,109.344416,23415.874,745.12897,40508.2298,22.67621483,52.79812447,55.58928389,5.787297528,17.6316283,13233.2,17615.6,25686.2,51582.2,12161.8,30767.0,375.82,5.7,9853.2,301.11532,991.0186,1292.1217,333.88892,167.61194,87.15754,2942.76106,0.751220509,0.497966353,0.395287158,621,0,,
Adreian Payne,Michigan St.,208.28,2011,2014,Stretch 4,"Dayton, OH",5.324615,1.2170425,4.107575,5.1029575,2.1713425,2.9316175,188.2,110.6366631,17142.84413,614.168134,30285.33266,22.03894793,56.0858661,59.9182678,9.487991498,21.32327311,14811.1,19093.7,20234.1,36337.1,3572.9,8721.4,1104.05,6.9,2823.0,308.43665,830.96716,1139.40381,138.96015,111.6056,198.33395,1977.55412,0.775706123,0.556844107,0.409670466,648,2,,
Ajay Mitchell,UC Santa Barbara,195.58,2022,2024,Scoring PG,"Liege, Belgium",1.855909667,2.980923333,-1.125012333,3.301905333,3.121216,0.180685333,238.0,114.5297899,24595.7059,630.257999,37245.6418,25.49205882,54.11764706,59.91131092,0.981260504,9.832478992,29998.1,36498.0,33414.7,60479.2,4963.4,15420.0,213.56,5.9,9044.0,56.62889,650.61184,707.24073,1028.55464,263.96334,70.14949,3794.82178,0.82191079,0.552499041,0.321880674,824,0,,
Al-Farouq Aminu,Wake Forest,289.56,2010,2010,PF/C,"Norcross, GA",6.58999,2.7312,3.85879,6.42958,4.27468,2.15491,76.4,101.8,6897.59828,329.717952,18111.4604,27.8,47.1,52.4,14.6,20.5,10619.6,15203.6,11383.6,23531.2,1375.2,5042.4,343.8,2.6,611.2,327.77892,490.44216,818.22108,101.04664,108.44216,108.44216,1210.07668,0.698492462,0.483766234,0.272727273,894,2,,
Alec Peters,Valparaiso,205.74,2014,2017,Stretch 4,"Washington, IL",4.8027025,4.2130975,0.58960675,6.9910875,6.2703825,0.72070625,313.3,119.960549,30386.08454,1141.782292,59796.566,24.15017555,57.00067028,61.4502362,7.209064794,18.76144271,35719.1,41997.4,36349.7,68385.0,21377.5,51689.7,290.8,5.5,16918.2,632.71391,1755.61081,2388.33292,474.47697,236.14623,92.52849,5570.26335,0.850507412,0.531544929,0.413573691,954,0,,
Alize Johnson,Missouri St.,205.74,2017,2018,PF/C,"Williamsport, PA",4.45157,3.966285,0.485280793,5.34939,5.61508,-0.265694,153.3,110.9101761,15234.47155,484.424374,30862.3094,27.31448141,51.26914547,55.14038487,12.13431181,30.16086106,16638.6,23200.9,19547.6,37498.5,6132.0,18855.1,170.11,2.0,7665.0,496.72359,1212.3212,1709.06012,366.40793,81.01453,46.89834,2281.36848,0.717153214,0.521290185,0.32521705,1309,2,,
Allen Crabbe,California,198.12,2011,2013,Wing G,"Los Angeles, CA",6.198803333,4.22564,1.973173333,6.89859,5.221656667,1.676933333,253.3,111.1776155,24758.90945,992.75003,53099.6896,21.86979866,53.42427951,57.11412554,3.090051323,15.70986972,22347.1,27287.7,27795.8,55478.5,17672.1,46387.6,441.56,4.4,7852.3,220.62172,1226.77929,1447.40101,568.9897,219.15318,148.15002,3992.32433,0.818944066,0.501019314,0.380966034,1328,0,,
Allonzo Trier,Arizona,198.12,2016,2018,Combo G,"Seattle, WA",5.107666667,4.95744,0.150228,5.963453333,5.183673333,0.779783,172.6,120.6297798,17819.48913,573.464332,24347.58954,23.44710313,56.60782155,62.86725956,1.475955968,11.60660487,22596.1,27066.9,15715.1,27253.9,9046.6,23952.1,146.28,2.9,0.0,61.42358,565.69379,627.11348,421.08766,93.78934,42.82905,2910.53272,0.834824084,0.576618392,0.377695484,1355,1,,
Amari Bailey,UCLA,195.58,2023,2023,Wing G,"Chicago, IL",3.48647,0.117684,3.36878,3.92342,1.14883,2.77459,54.5,99.6,5003.07275,211.233825,8276.8605,23.5,53.3,55.29,3.6,13.1,2398.0,3433.5,6213.0,11935.5,1144.5,2943.0,76.3,2.5,2234.5,45.41485,161.68515,207.1,118.08515,61.76485,16.35,608.58515,0.698412698,0.520547945,0.388888889,1473,1,,
Andre Roberson,Colorado,200.66,2011,2013,PF/C,"San Antonio, TX",8.851,2.783186667,6.067813333,7.023823333,3.55174,3.472083333,208.0,107.4859135,18221.7576,899.394236,54495.8004,19.88336538,55.11182692,56.07415865,12.49509615,27.339375,13610.4,23449.9,22619.0,41291.8,3492.5,9838.0,1130.24,10.0,5408.0,614.11837,1508.14714,2122.26551,250.12355,340.84564,304.35542,2081.25676,0.580403328,0.547784306,0.355001016,1669,2,,
Andrew Harrison,Kentucky,198.12,2014,2015,Scoring PG,"Richmond, TX",4.495845,3.12408,1.371768,4.174415,2.186154,1.9882615,141.6,106.6105932,13798.87627,507.228547,24265.5199,21.8,42.99230226,51.7329661,2.42069209,8.1,20432.1,26360.9,11009.5,29442.3,4862.1,13310.4,111.74,3.5,6230.4,83.83123,304.20094,388.03848,536.93221,105.92786,30.60431,1440.65623,0.775091139,0.373934781,0.365285792,1791,1,,
Andrew Nicholson,St. Bonaventure,289.56,2010,2012,PF/C,"Ontario, CA",3.710653333,2.263406667,1.447243667,5.689236667,4.82854,0.860698233,228.8,112.4425699,22559.77673,721.912983,44023.1223,27.46341783,58.00301573,61.6197028,8.822552448,19.88208042,29878.9,40271.1,47252.2,81205.6,2196.7,5807.8,1391.36,2.7,4347.2,500.73132,1238.95185,1739.68387,195.88511,108.48566,403.12804,4257.71425,0.741943975,0.581883515,0.378232722,1838,2,,
