player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,pos_class
Pooh Williams,Utah St.,WAC,32,64,108.3,18.1,53,53.33,2.3,5.9,14.6,14.1,33,62,0.532,70,134,0.522,36,100,0.36,0.9,1.4,26.5,Jr,3-Jun,5,1.80117,104.802,2.7,2010,3,,,1.99990867,48,75,22,59,0.64,0.3729,6,7,0.8571,,100.875,98.5761,2.63663,124.827,2.28252,2.42698,-0.144461,1.06223,27.3125,0.78596,0.276271,0.4688,1.375,1.8438,2.1875,0.5938,0.2188,8.7812,Combo G
Nick Rodgers,Butler,Horz,11,1,121.1,16.8,75,75,0,0,15.8,24.8,0,0,0,0,1,0,2,3,0.667,0,0,0,Sr,2-Jun,14,0.14567,116.508,8,2010,11,,,1,0,0,0,1,,0,0,0,,,102.878,101.938,0.116247,1.58625,-3.89051,0.869061,-4.75957,1.80259,1.3636,2.31746,-0.514877,0,0,0,0.0909,0,0,0.5455,Pure PG
Dana Smith,Longwood,ind,27,81.8,99.8,27.7,49.9,53.76,6.9,17.6,15.6,18.6,123,187,0.658,126,261,0.483,33,91,0.363,1.4,1.4,53.1,Sr,5-Jun,22,2.55347,108.224,4.3,2010,13,,,0.77380988,82,134,44,127,0.6119,0.3465,3,4,0.75,,106.301,110.631,1.80142,168.428,-0.441037,1.10734,-1.54838,-0.11805,32.7037,1.94935,-2.0674,2.1481,4.9259,7.0741,2.4074,0.8148,0.4815,17.5556,Wing F
Matt Beck,Fordham,A10,7,1.3,220.8,0.7,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Sr,Jun-00,20,0.682753,177.544,0,2010,15,,,1.00030004,,,,,,,,,,,119.57,116.211,0.0765394,1.35634,-10.0674,-4.98485,-5.08253,-7.95351,2.1429,-4.64808,-3.30543,0,0,0,0.1429,0,0,0,Combo G
Alex Hornat,Connecticut,BE,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sr,5-Jun,22,-0.486059,-7.66032,0,2010,25,,,0,,,,,,,,,,,111.392,108.157,0.0955026,0.241481,-2.1572,-1.6665,-0.490701,-2.53318,1.5,-1.55686,-0.97632,0,0,0,0,0,0,0,PF/C
Carlos Strong,Boston University,AE,35,76.2,118.1,16.4,58.8,60.93,4.7,11.5,12.3,15.1,73,107,0.682,65,136,0.478,59,125,0.472,1.4,3.1,41,Sr,3-Jun,22,2.75812,111.811,3.5,2010,32,"Portland, ME",3.2,1.34038268,47,78,19,58,0.6026,0.3276,13,15,0.8667,,95.9093,98.0859,3.00456,215.857,6.07749,3.66533,2.41216,5.25306,30.6857,2.91471,2.33834,1.3429,3.2286,4.5714,1.8,1.6571,0.4,10.8571,Combo G
Sherrod Smith,Boston University,AE,29,9.5,60.7,6.9,8.3,14.93,3.2,13.9,7.7,6.1,3,10,0.3,1,10,0.1,0,2,0,0.8,1.3,83.3,Sr,4-Jun,34,-0.606965,47.7043,3.9,2010,33,"Milwaukee, WI",,5.99710162,1,7,0,3,0.1429,0,0,0,,,99.0118,101.286,0.402609,23.5657,-4.12849,-4.70708,0.578588,-3.75119,4.6207,-4.67608,0.92489,0.1379,0.5862,0.7241,0.2069,0.1034,0.0345,0.1724,Wing G
Eulis Stephens,Detroit Mercy,Horz,31,31.6,110.2,13.9,51.3,55.91,6.1,10.6,8.4,16,33,49,0.673,33,54,0.611,4,22,0.182,1.1,1.7,64.5,Sr,4-Jun,24,0.655344,99.7749,3.8,2010,34,"Detroit, MI",,1.12497585,27,40,6,14,0.675,0.4286,4,5,0.8,,99.3834,98.5807,1.30229,70.4798,0.667967,0.23597,0.431997,0.611289,13.5484,-0.283722,0.895011,0.6774,1.2258,1.9032,0.5806,0.3871,0.129,3.5806,Wing G
Scott Brittain,Boston University,AE,1,0.1,0,20,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,,,-0.297458,-1.32E-14,0,2010,36,,,0,,,,,,,,,,,,,,,,,,,1,,,0,0,0,0,0,0,0,
Brett Gifford,Albany,AE,30,39.4,79.3,10.1,46.8,46.77,4.4,18.3,7.2,34.5,4,9,0.444,29,61,0.475,0,1,0,5.4,1.4,14.5,Sr,11-Jun,54,-1.12134,66.48,5,2010,37,,,0.62066827,16,21,13,40,0.7619,0.325,0,0,,,101.019,104.12,1.3044,100.592,-2.65868,-4.68582,2.02714,-3.82715,16.9333,-5.13303,1.30588,0.6333,2.6667,3.3,0.6,0.4,0.8333,2.0667,C
